Partition D1A27F64-3380-11E0-9C69-F35878AF207B
			member(2914) 2574
			member(2915) 2574
			member(2916) 2574
			member(2917) 2574
			member(2918) 2574
			member(2919) 2574
			member(2920) 2574
			member(2921) 2574
			member(2922) 2574
			member(2923) 2574
			member(2924) 2574
			member(2925) 2574
			member(2926) 2574
			member(2927) 2574
			member(2928) 2574
			member(2929) 2574
			member(2930) 473
			member(2931) 473
			member(2932) 473
			member(2933) 473
			member(2934) 473
			member(2935) 473
			member(2936) 473
			member(2937) 473
			member(2938) 473
			member(2939) 473
			member(2940) 473
			member(2941) 473
			member(2942) 473
			member(2943) 473
			member(2944) 39043
			member(2945) 34256
			member(2946) 30263
			member(2947) 25626
			member(2948) 22720
			member(2949) 13467
			member(2950) 9917
			member(2951) 9917
			member(2952) 9917
			member(2953) 9917
			member(2954) 9917
			member(2955) 9917
			member(2956) 9917
			member(2957) 9917
			member(2958) 9806
			member(2959) 8730
			member(2960) 7875
			member(2961) 6920
			member(2962) 4737
			member(2963) 553
			member(2964) 473
			member(2965) 473
			member(2966) 473
			member(2967) 473
			member(2968) 473
			member(2969) 473
			member(2970) 2574
			member(2971) 2574
			member(2972) 2574
			member(2973) 2574
			member(2974) 2574
			member(2975) 2574
			member(2976) 2574
			member(2977) 2574
			member(2978) 2574
			member(2979) 2574
			member(2980) 2574
			member(2981) 2574
			member(2982) 2574
			member(2983) 2574
			member(2984) 2574
			member(2985) 2574
			member(2986) 2574
			member(2987) 2574
			member(2988) 2574
			member(2989) 2574
			member(2990) 2574
			member(2991) 2574
			member(2992) 2574
			member(2993) 2574
			member(2994) 473
			member(2995) 473
			member(2996) 473
			member(2997) 473
			member(2998) 473
			member(2999) 473
			member(3000) 473
			member(3001) 473
			member(3002) 473
			member(3003) 473
			member(3004) 473
			member(3005) 473
			member(3006) 473
			member(3007) 473
			member(3008) 37092
			member(3009) 32325
			member(3010) 27437
			member(3011) 22187
			member(3012) 15297
			member(3013) 9917
			member(3014) 9917
			member(3015) 9917
			member(3016) 9917
			member(3017) 9917
			member(3018) 9917
			member(3019) 9917
			member(3020) 9917
			member(3021) 9897
			member(3022) 9122
			member(3023) 7634
			member(3024) 6678
			member(3025) 6035
			member(3026) 3279
			member(3027) 473
			member(3028) 473
			member(3029) 473
			member(3030) 473
			member(3031) 473
			member(3032) 473
			member(3033) 834
			member(3034) 2574
			member(3035) 2574
			member(3036) 2574
			member(3037) 2574
			member(3038) 2574
			member(3039) 2574
			member(3040) 2574
			member(3041) 2574
			member(3042) 2574
			member(3043) 2574
			member(3044) 2574
			member(3045) 2574
			member(3046) 2574
			member(3047) 2574
			member(3048) 2574
			member(3049) 2574
			member(3050) 2574
			member(3051) 2574
			member(3052) 2574
			member(3053) 2574
			member(3054) 2574
			member(3055) 2574
			member(3056) 2574
			member(3057) 2574
			member(3058) 2574
			member(3059) 0
			member(3060) 0
			member(3061) 0
			member(3062) 0
			member(3063) 473
			member(3064) 473
			member(3065) 473
			member(3066) 473
			member(3067) 473
			member(3068) 473
			member(3069) 473
			member(3070) 473
			member(3071) 473
			member(3072) 35785
			member(3073) 30042
			member(3074) 18415
			member(3075) 13507
			member(3076) 9917
			member(3077) 9917
			member(3078) 9917
			member(3079) 9917
			member(3080) 9917
			member(3081) 9917
			member(3082) 9917
			member(3083) 9917
			member(3084) 9917
			member(3085) 9535
			member(3086) 8116
			member(3087) 6980
			member(3088) 6065
			member(3089) 5411
			member(3090) 3148
			member(3091) 473
			member(3092) 473
			member(3093) 473
			member(3094) 473
			member(3095) 473
			member(3096) 2574
			member(3097) 2574
			member(3098) 2574
			member(3099) 2574
			member(3100) 2574
			member(3101) 2574
			member(3102) 2574
			member(3103) 2574
			member(3104) 2574
			member(3105) 2574
			member(3106) 2574
			member(3107) 2574
			member(3108) 2574
			member(3109) 2574
			member(3110) 2574
			member(3111) 2574
			member(3112) 2574
			member(3113) 2574
			member(3114) 2574
			member(3115) 2574
			member(3116) 2574
			member(3117) 2574
			member(3118) 2574
			member(3119) 2574
			member(3120) 2574
			member(3121) 2574
			member(3122) 0
			member(3123) 0
			member(3124) 0
			member(3125) 0
			member(3126) 0
			member(3127) 0
			member(3128) 473
			member(3129) 473
			member(3130) 473
			member(3131) 473
			member(3132) 473
			member(3133) 473
			member(3134) 473
			member(3135) 473
			member(3136) 29368
			member(3137) 18295
			member(3138) 10892
			member(3139) 9917
			member(3140) 9917
			member(3141) 9917
			member(3142) 9917
			member(3143) 9917
			member(3144) 9917
			member(3145) 9917
			member(3146) 9917
			member(3147) 9917
			member(3148) 9695
			member(3149) 8670
			member(3150) 7624
			member(3151) 6698
			member(3152) 5854
			member(3153) 5250
			member(3154) 3450
			member(3155) 483
			member(3156) 473
			member(3157) 473
			member(3158) 473
			member(3159) 2574
			member(3160) 2574
			member(3161) 2574
			member(3162) 2574
			member(3163) 2574
			member(3164) 2574
			member(3165) 2574
			member(3166) 2574
			member(3167) 2574
			member(3168) 2574
			member(3169) 2574
			member(3170) 2574
			member(3171) 2574
			member(3172) 2574
			member(3173) 2574
			member(3174) 2574
			member(3175) 2574
			member(3176) 2574
			member(3177) 2574
			member(3178) 2574
			member(3179) 2574
			member(3180) 2574
			member(3181) 2574
			member(3182) 2574
			member(3183) 2574
			member(3184) 2574
			member(3185) 2574
			member(3186) 0
			member(3187) 0
			member(3188) 0
			member(3189) 0
			member(3190) 0
			member(3191) 0
			member(3192) 0
			member(3193) 473
			member(3194) 473
			member(3195) 473
			member(3196) 473
			member(3197) 473
			member(3198) 473
			member(3199) 473
			member(3200) 18687
			member(3201) 9977
			member(3202) 9917
			member(3203) 9917
			member(3204) 9917
			member(3205) 9917
			member(3206) 9917
			member(3207) 9917
			member(3208) 9917
			member(3209) 9917
			member(3210) 9917
			member(3211) 9736
			member(3212) 8931
			member(3213) 8046
			member(3214) 7201
			member(3215) 6417
			member(3216) 5713
			member(3217) 5129
			member(3218) 4395
			member(3219) 614
			member(3220) 473
			member(3221) 473
			member(3222) 473
			member(3223) 2574
			member(3224) 2574
			member(3225) 2574
			member(3226) 2574
			member(3227) 2574
			member(3228) 2574
			member(3229) 2574
			member(3230) 2574
			member(3231) 2574
			member(3232) 2574
			member(3233) 2574
			member(3234) 2574
			member(3235) 2574
			member(3236) 2574
			member(3237) 2574
			member(3238) 2574
			member(3239) 2574
			member(3240) 2574
			member(3241) 2574
			member(3242) 2574
			member(3243) 2574
			member(3244) 2574
			member(3245) 2574
			member(3246) 2574
			member(3247) 2574
			member(3248) 2574
			member(3249) 2574
			member(3250) 0
			member(3251) 0
			member(3252) 0
			member(3253) 0
			member(3254) 0
			member(3255) 0
			member(3256) 0
			member(3257) 0
			member(3258) 473
			member(3259) 473
			member(3260) 473
			member(3261) 473
			member(3262) 473
			member(3263) 473
			member(3264) 9917
			member(3265) 9917
			member(3266) 9917
			member(3267) 9917
			member(3268) 9917
			member(3269) 9917
			member(3270) 9917
			member(3271) 9917
			member(3272) 9917
			member(3273) 9917
			member(3274) 9746
			member(3275) 8941
			member(3276) 8137
			member(3277) 7402
			member(3278) 6718
			member(3279) 6095
			member(3280) 5512
			member(3281) 5009
			member(3282) 4506
			member(3283) 473
			member(3284) 473
			member(3285) 473
			member(3286) 2574
			member(3287) 2574
			member(3288) 2574
			member(3289) 2574
			member(3290) 2574
			member(3291) 2574
			member(3292) 2574
			member(3293) 2574
			member(3294) 2574
			member(3295) 2574
			member(3296) 2574
			member(3297) 2574
			member(3298) 2574
			member(3299) 2574
			member(3300) 2574
			member(3301) 2574
			member(3302) 2574
			member(3303) 2574
			member(3304) 2574
			member(3305) 2574
			member(3306) 2574
			member(3307) 2574
			member(3308) 2574
			member(3309) 2574
			member(3310) 2574
			member(3311) 2574
			member(3312) 2574
			member(3313) 2574
			member(3314) 2574
			member(3315) 0
			member(3316) 0
			member(3317) 0
			member(3318) 0
			member(3319) 0
			member(3320) 0
			member(3321) 0
			member(3322) 473
			member(3323) 473
			member(3324) 473
			member(3325) 473
			member(3326) 473
			member(3327) 473
			member(3328) 9917
			member(3329) 9917
			member(3330) 9917
			member(3331) 9917
			member(3332) 9917
			member(3333) 9917
			member(3334) 9917
			member(3335) 9917
			member(3336) 9856
			member(3337) 9414
			member(3338) 8810
			member(3339) 8096
			member(3340) 7422
			member(3341) 6759
			member(3342) 6195
			member(3343) 5693
			member(3344) 5230
			member(3345) 4828
			member(3346) 4234
			member(3347) 473
			member(3348) 473
			member(3349) 473
			member(3350) 2574
			member(3351) 2574
			member(3352) 2574
			member(3353) 2574
			member(3354) 2574
			member(3355) 2574
			member(3356) 2574
			member(3357) 2574
			member(3358) 2574
			member(3359) 2574
			member(3360) 2574
			member(3361) 2574
			member(3362) 2574
			member(3363) 2574
			member(3364) 2574
			member(3365) 2574
			member(3366) 2574
			member(3367) 2574
			member(3368) 2574
			member(3369) 2574
			member(3370) 2574
			member(3371) 2574
			member(3372) 2574
			member(3373) 2574
			member(3374) 2574
			member(3375) 2574
			member(3376) 2574
			member(3377) 2574
			member(3378) 0
			member(3379) 0
			member(3380) 0
			member(3381) 0
			member(3382) 0
			member(3383) 0
			member(3384) 0
			member(3385) 0
			member(3386) 0
			member(3387) 473
			member(3388) 473
			member(3389) 473
			member(3390) 473
			member(3391) 473
			member(3392) 9917
			member(3393) 9917
			member(3394) 9917
			member(3395) 9917
			member(3396) 9917
			member(3397) 9907
			member(3398) 9685
			member(3399) 9243
			member(3400) 8851
			member(3401) 8378
			member(3402) 7865
			member(3403) 7302
			member(3404) 6759
			member(3405) 6216
			member(3406) 5733
			member(3407) 5290
			member(3408) 4928
			member(3409) 4566
			member(3410) 473
			member(3411) 473
			member(3412) 473
			member(3413) 473
			member(3414) 2574
			member(3415) 2574
			member(3416) 2574
			member(3417) 2574
			member(3418) 2574
			member(3419) 2574
			member(3420) 2574
			member(3421) 2574
			member(3422) 2574
			member(3423) 2574
			member(3424) 2574
			member(3425) 2574
			member(3426) 2574
			member(3427) 2574
			member(3428) 2574
			member(3429) 2574
			member(3430) 2574
			member(3431) 2574
			member(3432) 2574
			member(3433) 2574
			member(3434) 2574
			member(3435) 2574
			member(3436) 2574
			member(3437) 2574
			member(3438) 2574
			member(3439) 2574
			member(3440) 2574
			member(3441) 2574
			member(3442) 0
			member(3443) 0
			member(3444) 0
			member(3445) 0
			member(3446) 0
			member(3447) 0
			member(3448) 0
			member(3449) 0
			member(3450) 0
			member(3451) 473
			member(3452) 473
			member(3453) 473
			member(3454) 473
			member(3455) 473
			member(3456) 9917
			member(3457) 9917
			member(3458) 9917
			member(3459) 9917
			member(3460) 9786
			member(3461) 8971
			member(3462) 8378
			member(3463) 8076
			member(3464) 7744
			member(3465) 7402
			member(3466) 7040
			member(3467) 6578
			member(3468) 6135
			member(3469) 5713
			member(3470) 5331
			member(3471) 4968
			member(3472) 4647
			member(3473) 473
			member(3474) 473
			member(3475) 473
			member(3476) 473
			member(3477) 626
			member(3478) 2574
			member(3479) 2574
			member(3480) 2574
			member(3481) 2574
			member(3482) 2574
			member(3483) 2574
			member(3484) 2574
			member(3485) 2574
			member(3486) 2574
			member(3487) 2574
			member(3488) 2574
			member(3489) 2574
			member(3490) 2574
			member(3491) 2574
			member(3492) 2574
			member(3493) 2574
			member(3494) 2574
			member(3495) 2574
			member(3496) 2574
			member(3497) 2574
			member(3498) 2574
			member(3499) 2574
			member(3500) 2574
			member(3501) 2574
			member(3502) 2574
			member(3503) 2574
			member(3504) 2574
			member(3505) 85
			member(3506) 0
			member(3507) 0
			member(3508) 0
			member(3509) 0
			member(3510) 0
			member(3511) 0
			member(3512) 0
			member(3513) 0
			member(3514) 0
			member(3515) 473
			member(3516) 473
			member(3517) 473
			member(3518) 473
			member(3519) 473
			member(3520) 9917
			member(3521) 9917
			member(3522) 9917
			member(3523) 9585
			member(3524) 8599
			member(3525) 7915
			member(3526) 7453
			member(3527) 7201
			member(3528) 6920
			member(3529) 6618
			member(3530) 6336
			member(3531) 5994
			member(3532) 5632
			member(3533) 5290
			member(3534) 4968
			member(3535) 4687
			member(3536) 3530
			member(3537) 473
			member(3538) 473
			member(3539) 473
			member(3540) 473
			member(3541) 473
			member(3542) 2574
			member(3543) 2574
			member(3544) 2574
			member(3545) 2574
			member(3546) 2574
			member(3547) 2574
			member(3548) 2574
			member(3549) 2574
			member(3550) 2574
			member(3551) 2574
			member(3552) 2574
			member(3553) 2574
			member(3554) 2574
			member(3555) 2574
			member(3556) 2574
			member(3557) 2574
			member(3558) 2574
			member(3559) 2574
			member(3560) 2574
			member(3561) 2574
			member(3562) 2574
			member(3563) 2574
			member(3564) 2574
			member(3565) 2574
			member(3566) 2574
			member(3567) 2574
			member(3568) 2574
			member(3569) 0
			member(3570) 0
			member(3571) 0
			member(3572) 0
			member(3573) 0
			member(3574) 0
			member(3575) 0
			member(3576) 0
			member(3577) 0
			member(3578) 0
			member(3579) 473
			member(3580) 473
			member(3581) 473
			member(3582) 473
			member(3583) 473
			member(3584) 9917
			member(3585) 9897
			member(3586) 9434
			member(3587) 8127
			member(3588) 7463
			member(3589) 6980
			member(3590) 6658
			member(3591) 6417
			member(3592) 6175
			member(3593) 5934
			member(3594) 5693
			member(3595) 5431
			member(3596) 5149
			member(3597) 4888
			member(3598) 4627
			member(3599) 4355
			member(3600) 473
			member(3601) 473
			member(3602) 473
			member(3603) 473
			member(3604) 473
			member(3605) 473
			member(3606) 2574
			member(3607) 2574
			member(3608) 2574
			member(3609) 2574
			member(3610) 2574
			member(3611) 2574
			member(3612) 2574
			member(3613) 2574
			member(3614) 2574
			member(3615) 2574
			member(3616) 2574
			member(3617) 2574
			member(3618) 2574
			member(3619) 2574
			member(3620) 2574
			member(3621) 2574
			member(3622) 2574
			member(3623) 2574
			member(3624) 2574
			member(3625) 2574
			member(3626) 2574
			member(3627) 2574
			member(3628) 2574
			member(3629) 2574
			member(3630) 2574
			member(3631) 2574
			member(3632) 2574
			member(3633) 0
			member(3634) 0
			member(3635) 0
			member(3636) 0
			member(3637) 0
			member(3638) 0
			member(3639) 0
			member(3640) 0
			member(3641) 0
			member(3642) 0
			member(3643) 473
			member(3644) 473
			member(3645) 473
			member(3646) 473
			member(3647) 473
			member(3648) 9776
			member(3649) 8790
			member(3650) 7976
			member(3651) 7272
			member(3652) 6698
			member(3653) 6256
			member(3654) 5994
			member(3655) 5793
			member(3656) 5572
			member(3657) 5371
			member(3658) 5170
			member(3659) 4968
			member(3660) 4747
			member(3661) 4526
			member(3662) 4325
			member(3663) 1559
			member(3664) 473
			member(3665) 473
			member(3666) 473
			member(3667) 473
			member(3668) 473
			member(3669) 473
			member(3670) 473
			member(3671) 2574
			member(3672) 2574
			member(3673) 2574
			member(3674) 2574
			member(3675) 2574
			member(3676) 2574
			member(3677) 2574
			member(3678) 2574
			member(3679) 2574
			member(3680) 2574
			member(3681) 2574
			member(3682) 2574
			member(3683) 2574
			member(3684) 2574
			member(3685) 2574
			member(3686) 2574
			member(3687) 2574
			member(3688) 2574
			member(3689) 2574
			member(3690) 2574
			member(3691) 2574
			member(3692) 2574
			member(3693) 2574
			member(3694) 2574
			member(3695) 2574
			member(3696) 0
			member(3697) 0
			member(3698) 0
			member(3699) 0
			member(3700) 0
			member(3701) 0
			member(3702) 0
			member(3703) 0
			member(3704) 0
			member(3705) 0
			member(3706) 0
			member(3707) 473
			member(3708) 473
			member(3709) 473
			member(3710) 473
			member(3711) 473
			member(3712) 8519
			member(3713) 7855
			member(3714) 7231
			member(3715) 6658
			member(3716) 6155
			member(3717) 5773
			member(3718) 5491
			member(3719) 5290
			member(3720) 5089
			member(3721) 4908
			member(3722) 4747
			member(3723) 4566
			member(3724) 4385
			member(3725) 3812
			member(3726) 1569
			member(3727) 473
			member(3728) 473
			member(3729) 473
			member(3730) 473
			member(3731) 473
			member(3732) 473
			member(3733) 473
			member(3734) 0
			member(3735) 274
			member(3736) 2574
			member(3737) 2574
			member(3738) 2574
			member(3739) 2574
			member(3740) 2574
			member(3741) 2574
			member(3742) 2574
			member(3743) 2574
			member(3744) 2574
			member(3745) 2574
			member(3746) 2574
			member(3747) 2574
			member(3748) 2574
			member(3749) 2574
			member(3750) 2574
			member(3751) 2574
			member(3752) 2574
			member(3753) 2574
			member(3754) 2574
			member(3755) 2574
			member(3756) 2574
			member(3757) 2574
			member(3758) 2574
			member(3759) 0
			member(3760) 0
			member(3761) 0
			member(3762) 0
			member(3763) 0
			member(3764) 0
			member(3765) 0
			member(3766) 0
			member(3767) 0
			member(3768) 0
			member(3769) 0
			member(3770) 473
			member(3771) 473
			member(3772) 473
			member(3773) 473
			member(3774) 473
			member(3775) 473
			member(3776) 7624
			member(3777) 7081
			member(3778) 6598
			member(3779) 6115
			member(3780) 5672
			member(3781) 5351
			member(3782) 5089
			member(3783) 4908
			member(3784) 4727
			member(3785) 4546
			member(3786) 4405
			member(3787) 3902
			member(3788) 1177
			member(3789) 473
			member(3790) 473
			member(3791) 473
			member(3792) 473
			member(3793) 473
			member(3794) 473
			member(3795) 473
			member(3796) 473
			member(3797) 0
			member(3798) 0
			member(3799) 0
			member(3800) 2574
			member(3801) 2574
			member(3802) 2574
			member(3803) 2574
			member(3804) 2574
			member(3805) 2574
			member(3806) 2574
			member(3807) 2574
			member(3808) 2574
			member(3809) 2574
			member(3810) 2574
			member(3811) 2574
			member(3812) 2574
			member(3813) 2574
			member(3814) 2574
			member(3815) 2574
			member(3816) 2574
			member(3817) 2574
			member(3818) 2574
			member(3819) 2574
			member(3820) 2574
			member(3821) 2574
			member(3822) 2574
			member(3823) 0
			member(3824) 0
			member(3825) 0
			member(3826) 0
			member(3827) 0
			member(3828) 0
			member(3829) 0
			member(3830) 0
			member(3831) 0
			member(3832) 0
			member(3833) 52
			member(3834) 473
			member(3835) 473
			member(3836) 473
			member(3837) 473
			member(3838) 473
			member(3839) 473
			member(3840) 6839
			member(3841) 6417
			member(3842) 6014
			member(3843) 5632
			member(3844) 5270
			member(3845) 4989
			member(3846) 4767
			member(3847) 4586
			member(3848) 4405
			member(3849) 4093
			member(3850) 1891
			member(3851) 473
			member(3852) 473
			member(3853) 473
			member(3854) 473
			member(3855) 473
			member(3856) 473
			member(3857) 473
			member(3858) 473
			member(3859) 473
			member(3860) 0
			member(3861) 0
			member(3862) 0
			member(3863) 2574
			member(3864) 2574
			member(3865) 2574
			member(3866) 2574
			member(3867) 2574
			member(3868) 2574
			member(3869) 2574
			member(3870) 2574
			member(3871) 2574
			member(3872) 2574
			member(3873) 2574
			member(3874) 2574
			member(3875) 2574
			member(3876) 2574
			member(3877) 2574
			member(3878) 2574
			member(3879) 2574
			member(3880) 2574
			member(3881) 2574
			member(3882) 2574
			member(3883) 2574
			member(3884) 2574
			member(3885) 785
			member(3886) 0
			member(3887) 0
			member(3888) 0
			member(3889) 0
			member(3890) 0
			member(3891) 0
			member(3892) 0
			member(3893) 0
			member(3894) 0
			member(3895) 0
			member(3896) 0
			member(3897) 473
			member(3898) 473
			member(3899) 473
			member(3900) 473
			member(3901) 473
			member(3902) 473
			member(3903) 473
			member(3904) 6195
			member(3905) 5833
			member(3906) 5491
			member(3907) 5190
			member(3908) 4908
			member(3909) 4667
			member(3910) 4486
			member(3911) 4274
			member(3912) 2273
			member(3913) 473
			member(3914) 473
			member(3915) 473
			member(3916) 473
			member(3917) 473
			member(3918) 473
			member(3919) 473
			member(3920) 473
			member(3921) 473
			member(3922) 473
			member(3923) 0
			member(3924) 0
			member(3925) 0
			member(3926) 2574
			member(3927) 2574
			member(3928) 2574
			member(3929) 2574
			member(3930) 2574
			member(3931) 2574
			member(3932) 2574
			member(3933) 2574
			member(3934) 2574
			member(3935) 2574
			member(3936) 2574
			member(3937) 2574
			member(3938) 2574
			member(3939) 2574
			member(3940) 2574
			member(3941) 2574
			member(3942) 2574
			member(3943) 2574
			member(3944) 2574
			member(3945) 2574
			member(3946) 2574
			member(3947) 473
			member(3948) 473
			member(3949) 473
			member(3950) 0
			member(3951) 0
			member(3952) 0
			member(3953) 0
			member(3954) 0
			member(3955) 0
			member(3956) 0
			member(3957) 0
			member(3958) 0
			member(3959) 473
			member(3960) 473
			member(3961) 473
			member(3962) 473
			member(3963) 473
			member(3964) 473
			member(3965) 473
			member(3966) 473
			member(3967) 473
			member(3968) 5652
			member(3969) 5331
			member(3970) 5069
			member(3971) 4828
			member(3972) 4586
			member(3973) 4385
			member(3974) 3540
			member(3975) 473
			member(3976) 473
			member(3977) 473
			member(3978) 473
			member(3979) 473
			member(3980) 473
			member(3981) 473
			member(3982) 473
			member(3983) 473
			member(3984) 473
			member(3985) 473
			member(3986) 473
			member(3987) 0
			member(3988) 0
			member(3989) 2574
			member(3990) 2574
			member(3991) 2574
			member(3992) 2574
			member(3993) 2574
			member(3994) 2574
			member(3995) 2574
			member(3996) 2574
			member(3997) 2574
			member(3998) 2574
			member(3999) 2574
			member(4000) 2574
			member(4001) 2574
			member(4002) 2574
			member(4003) 2574
			member(4004) 2574
			member(4005) 2574
			member(4006) 2574
			member(4007) 2574
			member(4008) 2574
			member(4009) 2574
			member(4010) 473
			member(4011) 473
			member(4012) 473
			member(4013) 473
			member(4014) 473
			member(4015) 0
			member(4016) 0
			member(4017) 0
			member(4018) 0
			member(4019) 0
			member(4020) 0
			member(4021) 0
			member(4022) 473
			member(4023) 473
			member(4024) 473
			member(4025) 473
			member(4026) 473
			member(4027) 473
			member(4028) 473
			member(4029) 473
			member(4030) 473
			member(4031) 473
			member(4032) 5170
			member(4033) 4908
			member(4034) 4687
			member(4035) 4486
			member(4036) 4023
			member(4037) 473
			member(4038) 473
			member(4039) 473
			member(4040) 473
			member(4041) 473
			member(4042) 473
			member(4043) 473
			member(4044) 473
			member(4045) 473
			member(4046) 473
			member(4047) 473
			member(4048) 473
			member(4049) 473
			member(4050) 473
			member(4051) 0
			member(4052) 2202
			member(4053) 2574
			member(4054) 2574
			member(4055) 2574
			member(4056) 2574
			member(4057) 2574
			member(4058) 2574
			member(4059) 2574
			member(4060) 2574
			member(4061) 2574
			member(4062) 2574
			member(4063) 2574
			member(4064) 2574
			member(4065) 2574
			member(4066) 2574
			member(4067) 2574
			member(4068) 2574
			member(4069) 2574
			member(4070) 2574
			member(4071) 2574
			member(4072) 2574
			member(4073) 473
			member(4074) 473
			member(4075) 473
			member(4076) 473
			member(4077) 473
			member(4078) 473
			member(4079) 473
			member(4080) 473
			member(4081) 473
			member(4082) 473
			member(4083) 473
			member(4084) 473
			member(4085) 473
			member(4086) 473
			member(4087) 473
			member(4088) 473
			member(4089) 473
			member(4090) 473
			member(4091) 473
			member(4092) 473
			member(4093) 473
			member(4094) 473
			member(4095) 473
ReferenceObjectData DEC35F90-8ECD-428D-A7D4-12561B237345
	$::GameObjectData
		$::GameDataContainer
			$::DataContainer
		IsEventConnectionTarget 3
		IsPropertyConnectionTarget 3
		IndexInBlueprint 38
	BlueprintTransform::LinearTransform
		right::Vec3
			x 0.7071067690849304
			y 0.0
			z -0.7071068286895752
		up::Vec3
			x 0.0
			y 1.0
			z 0.0
		forward::Vec3
			x 0.7071068286895752
			y 0.0
			z 0.7071067690849304
		trans::Vec3
			x -272.6453552246094
			y 63.062774658203125
			z 245.76754760742188
	Blueprint Objects/InvisibleCharacterCollision_01/CharacterCollision_01/DB773658-00FC-49E9-5603-7467A89F63E1
	ObjectVariation *nullGuid*
	StreamRealm StreamRealm_None
	CastSunShadowEnable True
	Excluded False
ReferenceObjectData 303DA495-72E4-45F7-91D3-3FF4CDEE4659
	$::GameObjectData
		$::GameDataContainer
			$::DataContainer
		IsEventConnectionTarget 3
		IsPropertyConnectionTarget 3
		IndexInBlueprint 39
	BlueprintTransform::LinearTransform
		right::Vec3
			x 0.7071067690849304
			y 0.0
			z -0.7071068286895752
		up::Vec3
			x 0.0
			y 1.0
			z 0.0
		forward::Vec3
			x 0.7071068286895752
			y 0.0
			z 0.7071067690849304
		trans::Vec3
			x -262.1261901855469
			y 63.062774658203125
			z 256.2866516113281
	Blueprint Objects/InvisibleCharacterCollision_01/CharacterCollision_01/DB773658-00FC-49E9-5603-7467A89F63E1
	ObjectVariation *nullGuid*
	StreamRealm StreamRealm_None
	CastSunShadowEnable True
	Excluded False
ReferenceObjectData E4BA1085-E6B2-49D8-8F29-03F1EEEA7A0B
	$::GameObjectData
		$::GameDataContainer
			$::DataContainer
		IsEventConnectionTarget 3
		IsPropertyConnectionTarget 3
		IndexInBlueprint 41
	BlueprintTransform::LinearTransform
		right::Vec3
			x -0.6920310854911804
			y 0.0
			z -0.7218673229217529
		up::Vec3
			x 0.0
			y 1.0
			z 0.0
		forward::Vec3
			x 0.7218673229217529
			y 0.0
			z -0.6920310854911804
		trans::Vec3
			x -172.79324340820312
			y 61.7060432434082
			z 472.0520935058594
	Blueprint Levels/MP_017/Terrain/MP_017_Waves_01_Animated/38E8B2FA-B3EB-425C-9C3E-509B381BC583
	ObjectVariation *nullGuid*
	StreamRealm StreamRealm_None
	CastSunShadowEnable True
	Excluded False
ReferenceObjectData AF0C9C3E-F6DB-4D99-9F0E-6F857BCBE44F
	$::GameObjectData
		$::GameDataContainer
			$::DataContainer
		IsEventConnectionTarget 3
		IsPropertyConnectionTarget 3
		IndexInBlueprint 42
	BlueprintTransform::LinearTransform
		right::Vec3
			x -0.6920310854911804
			y 0.0
			z -0.7218673229217529
		up::Vec3
			x 0.0
			y 1.0
			z 0.0
		forward::Vec3
			x 0.7218673229217529
			y 0.0
			z -0.6920310854911804
		trans::Vec3
			x -54.598899841308594
			y 61.7060432434082
			z 358.7434387207031
	Blueprint Levels/MP_017/Terrain/MP_017_Waves_01_Animated/38E8B2FA-B3EB-425C-9C3E-509B381BC583
	ObjectVariation *nullGuid*
	StreamRealm StreamRealm_None
	CastSunShadowEnable True
	Excluded False
ReferenceObjectData BB38CD66-7676-451B-9330-D8773CD695AD
	$::GameObjectData
		$::GameDataContainer
			$::DataContainer
		IsEventConnectionTarget 3
		IsPropertyConnectionTarget 3
		IndexInBlueprint 43
	BlueprintTransform::LinearTransform
		right::Vec3
			x -0.6920310854911804
			y 0.0
			z -0.7218673229217529
		up::Vec3
			x 0.0
			y 1.0
			z 0.0
		forward::Vec3
			x 0.7218673229217529
			y 0.0
			z -0.6920310854911804
		trans::Vec3
			x 63.60890197753906
			y 61.7060432434082
			z 245.4214630126953
	Blueprint Levels/MP_017/Terrain/MP_017_Waves_01_Animated/38E8B2FA-B3EB-425C-9C3E-509B381BC583
	ObjectVariation *nullGuid*
	StreamRealm StreamRealm_None
	CastSunShadowEnable True
	Excluded False
ReferenceObjectData 0C14F8DF-6A71-4C2C-9CFC-0CF7DE9F3964
	$::GameObjectData
		$::GameDataContainer
			$::DataContainer
		IsEventConnectionTarget 3
		IsPropertyConnectionTarget 3
		IndexInBlueprint 44
	BlueprintTransform::LinearTransform
		right::Vec3
			x -0.6920310854911804
			y 0.0
			z -0.7218673229217529
		up::Vec3
			x 0.0
			y 1.0
			z 0.0
		forward::Vec3
			x 0.7218673229217529
			y 0.0
			z -0.6920310854911804
		trans::Vec3
			x -290.9964599609375
			y 61.7060432434082
			z 585.37158203125
	Blueprint Levels/MP_017/Terrain/MP_017_Waves_01_Animated/38E8B2FA-B3EB-425C-9C3E-509B381BC583
	ObjectVariation *nullGuid*
	StreamRealm StreamRealm_None
	CastSunShadowEnable True
	Excluded False
ReferenceObjectData C9FB953F-FB14-41D1-8EF5-A9BDAB3547E8
	$::GameObjectData
		$::GameDataContainer
			$::DataContainer
		IsEventConnectionTarget 3
		IsPropertyConnectionTarget 3
		IndexInBlueprint 45
	BlueprintTransform::LinearTransform
		right::Vec3
			x -0.6920310854911804
			y 0.0
			z -0.7218673229217529
		up::Vec3
			x 0.0
			y 1.0
			z 0.0
		forward::Vec3
			x 0.7218673229217529
